Задача: Транспонировать матрицу (в качестве строк должны быть года, в качестве столбцов должны быть субъекты) и создать SQL запрос для переноса этой таблицы в базу данных Postgres

	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Российская Федерация	17,464,172	21,495,236	26,333,273	32,173,286	34,873,724	41,493,568	47,489,498	60,391,454	74,441,095	82,302,969	93,185,612	108,001,247	121,268,908	133,521,531	147,429,656	160,725,261	183,403,693
Центральный федеральный округ	4,358,855	5,199,581	6,296,105	8,304,173	9,280,004	11,481,926	13,199,939	18,409,503	25,151,424	26,832,797	30,674,303	34,970,822	38,981,428	43,531,550	47,270,685	50,049,197	58,400,591
Белгородская область	154,391	173,840	214,329	247,369	264,218	295,272	332,176	425,857	507,024	586,006	671,563	797,428	921,456	1,035,534	1,152,400	1,289,717	1,400,837
Брянская область	123,603	136,129	158,390	191,104	203,623	218,523	234,250	311,385	327,029	350,832	384,939	431,052	468,273	518,609	571,616	627,396	733,055
Владимирская область	135,800	142,385	183,274	221,794	219,687	219,803	254,161	290,393	328,569	369,170	421,136	506,112	550,984	585,987	649,970	705,136	787,525
Воронежская область	235,504	266,997	313,132	375,790	395,404	428,766	469,878	562,523	674,657	738,634	788,059	1,019,463	1,078,383	1,158,136	1,233,526	1,401,937	1,534,644
Ивановская область	84,587	92,689	106,561	131,905	144,334	146,922	160,051	207,383	260,005	300,365	350,925	564,135	468,173	483,179	516,607	536,739	553,289
Калужская область	110,400	115,358	131,045	179,030	187,474	202,519	219,137	281,488	323,872	383,147	449,711	513,811	559,089	665,178	722,223	834,822	912,722
Костромская область	90,668	98,339	118,361	159,813	176,457	189,028	209,665	242,020	263,477	279,921	295,091	312,406	323,157	345,022	360,520	377,650	419,515
Курская область	137,988	148,962	206,046	249,278	246,170	259,718	290,680	327,734	360,692	399,626	435,966	494,722	541,986	607,109	664,050	705,845	805,024
Липецкая область	139,471	174,366	208,488	256,852	279,807	330,185	364,208	453,206	524,693	579,269	635,096	717,970	770,538	879,524	997,633	1,066,160	1,178,985
Московская область	685,595	811,641	1,007,563	1,282,486	1,431,287	1,762,773	2,143,837	2,932,730	3,459,831	3,939,219	4,442,527	5,012,245	5,109,551	5,538,512	6,072,686	6,635,124	7,237,874
Орловская область	71,243	82,571	104,635	119,397	124,752	135,776	154,206	187,520	218,125	237,728	258,382	298,079	319,948	349,432	394,020	427,523	472,195
Рязанская область	122,622	148,106	187,267	241,753	245,709	289,479	346,379	402,878	477,383	525,645	577,233	673,713	609,793	671,471	748,637	807,575	927,211
Смоленская область	138,150	157,110	193,051	215,980	245,734	276,228	309,351	373,569	418,597	440,985	477,280	543,205	598,129	635,456	715,711	764,441	829,388
Тамбовская область	127,462	158,862	162,004	201,944	212,086	243,714	269,738	340,731	391,686	418,694	467,691	521,673	560,953	622,355	709,051	739,324	798,260
Тверская область	188,672	209,654	240,683	306,629	339,189	368,001	429,239	537,076	589,581	663,770	729,864	825,225	960,495	1,008,414	988,296	1,029,363	1,212,653
Тульская область	168,150	197,921	232,726	266,508	274,181	287,642	335,199	377,757	431,106	492,051	562,328	635,993	699,627	765,072	858,386	946,661	1,033,088
Ярославская область	199,812	243,393	272,638	359,037	384,339	480,593	535,264	648,365	717,989	770,917	821,370	934,472	994,998	1,115,615	1,024,943	1,075,784	1,226,233
г. Москва	1,444,737	1,841,258	2,255,912	3,297,504	3,905,553	5,346,984	6,142,520	9,506,888	14,877,108	15,356,818	17,905,142	20,169,118	23,445,895	26,546,945	28,890,410	30,078,000	36,338,093
Северо-Западный федеральный округ	1,789,585	2,083,416	2,629,404	3,417,342	3,663,691	4,134,214	4,976,071	6,244,131	7,196,426	8,041,564	9,107,642	10,905,713	12,675,792	14,411,740	16,021,207	17,400,366	20,330,095
Республика Карелия	103,488	123,308	148,241	174,757	198,482	214,925	243,546	296,563	323,513	347,961	393,841	408,974	443,696	485,437	521,336	550,036	675,940
Республика Коми	227,521	307,401	386,680	445,128	472,593	578,010	727,893	843,245	994,739	1,084,970	1,245,540	1,365,693	1,717,183	1,937,731	2,387,770	2,604,880	3,051,661
Архангельская область	222,595	205,633	271,575	394,995	402,806	452,384	541,730	684,202	846,044	968,119	1,068,113	1,161,604	1,259,415	1,399,524	1,508,181	1,621,368	1,957,337
Ненецкий автономный округ	17,761	19,456	23,169	29,997	34,435	56,407	76,978	103,611	214,738	271,344	317,535	347,152	409,702	433,177	483,967	551,986	755,231
Архангельская область (кроме Ненецкого автономного округа)	204,834	186,177	248,406	364,998	368,371	395,977	464,752	580,591	631,306	696,775	750,578	814,452	849,713	966,347	1,024,214	1,069,382	1,202,106
Вологодская область	162,550	186,999	252,460	332,752	344,991	400,094	478,439	674,525	723,043	757,254	828,642	1,018,443	1,144,210	1,236,470	1,347,451	1,403,785	1,549,344
Калининградская область	80,300	89,251	102,325	136,207	142,772	178,685	195,805	251,225	303,919	346,298	398,091	447,257	506,873	582,994	592,394	613,338	756,096
Ленинградская область	238,689	283,083	345,419	432,513	485,920	546,302	611,268	803,905	917,978	1,046,094	1,210,457	1,506,817	1,919,269	2,275,653	2,449,066	2,670,754	2,923,887
Мурманская область	154,603	187,777	214,701	291,420	311,729	344,444	406,705	538,057	623,548	684,809	799,454	1,163,343	1,298,653	1,432,787	1,563,764	1,814,839	1,891,317
Новгородская область	71,251	77,150	111,122	139,631	148,288	162,501	186,183	223,291	247,086	263,359	284,453	316,982	364,604	393,450	458,879	494,468	608,528
Псковская область	80,780	90,537	111,128	122,694	129,423	144,880	164,095	188,943	211,020	228,645	243,124	272,812	294,598	318,266	322,068	337,713	369,971
г.Санкт-Петербург	447,808	532,277	685,753	947,245	1,026,687	1,111,989	1,420,407	1,740,175	2,005,536	2,314,055	2,635,927	3,243,788	3,727,291	4,349,428	4,870,298	5,289,185	6,546,014
Южный федеральный округ 	1,256,163	1,495,386	1,767,548	2,138,153	2,341,881	2,752,590	3,001,054	3,813,016	4,526,183	5,062,626	5,706,003	6,548,818	7,222,089	8,347,529	10,498,325	12,418,091	14,201,426
Республика Адыгея	49,258	50,819	50,317	50,972	52,581	51,313	58,091	74,408	93,766	101,212	109,480	118,216	136,241	159,192	161,605	169,377	183,383
Республика Калмыкия	24,220	28,812	34,613	40,427	41,465	58,485	61,232	98,472	106,663	114,144	119,600	113,426	113,022	124,357	151,392	175,274	195,857
Республика Крым															1,233,700	2,033,676	2,055,242
Краснодарский край	516,894	576,533	666,157	780,300	896,631	1,079,840	1,114,617	1,385,585	1,645,865	1,870,428	2,139,060	2,471,453	2,821,779	3,639,608	4,208,926	4,770,758	5,481,558
Астраханская область	110,982	158,920	177,818	215,272	230,042	275,408	315,059	367,910	466,376	529,737	623,538	747,640	808,160	850,132	912,745	1,053,750	1,357,230
Волгоградская область	227,818	279,884	360,671	450,274	471,854	540,678	621,663	879,288	1,047,580	1,115,884	1,200,283	1,346,669	1,462,441	1,570,668	1,735,392	1,818,202	2,069,566
Ростовская область	326,991	400,418	477,972	600,908	649,308	746,866	830,392	1,007,353	1,165,933	1,331,221	1,514,042	1,751,414	1,880,446	2,003,572	2,085,372	2,355,619	2,583,782
г.Севастополь															9,193	41,435	274,808
Северо-Кавказский федеральный округ	538,669	624,186	735,870	853,445	902,083	1,053,567	1,139,523	1,573,198	1,824,682	2,058,011	2,317,317	2,637,978	2,933,644	3,272,961	3,601,090	4,032,053	4,515,820
Республика Дагестан	176,853	188,752	228,062	242,053	256,898	312,331	339,844	431,688	525,036	610,455	702,603	821,966	877,939	985,711	1,213,120	1,355,843	1,570,561
Республика Ингушетия	5,739	7,313	9,425	13,783	17,310	24,538	25,310	40,475	38,864	40,638	45,758	40,918	49,517	65,741	73,001	88,438	101,859
Кабардино-Балкарская Республика	51,765	54,237	68,057	79,410	80,069	85,088	90,672	105,499	120,959	135,976	158,744	185,443	202,099	217,265	223,801	240,069	253,447
Карачаево-Черкесская Республика	33,788	41,419	42,799	58,170	60,474	64,592	68,159	91,481	101,153	112,083	116,719	126,319	142,438	158,477	166,250	189,172	198,664
Республика Северная Осетия - Алания	46,347	54,197	65,384	86,484	91,942	96,529	98,675	113,037	119,133	151,730	171,315	182,119	187,258	197,435	204,596	232,170	247,890
Чеченская Республика								185,769	189,968	207,814	231,128	300,776	330,596	404,275	413,687	425,937	468,184
Ставропольский край	224,177	278,268	322,143	373,545	395,390	470,489	516,863	605,249	729,569	799,315	891,050	980,437	1,143,797	1,244,057	1,306,635	1,500,424	1,675,215
Приволжский федеральный округ	3,570,321	4,254,707	5,137,048	6,046,752	6,438,858	7,462,180	8,456,510	10,204,265	11,863,782	13,202,934	14,792,989	17,166,375	17,906,759	19,684,669	20,928,321	23,031,982	25,329,929
