Задача: Транспонировать матрицу (в качестве строк должны быть года) и создать SQL запрос для переноса этой таблицы в базу данных Postgres

	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Российская Федерация	10,596,494	12,665,056	14,735,363	18,325,879	19,693,844	22,720,883	25,519,867	32,512,588	40,722,695	45,030,206	49,268,061	56,312,433	63,372,380	69,162,242	74,662,421	84,132,307	95,227,542
Центральный федеральный округ	2,725,054	3,255,821	3,750,104	5,115,959	5,608,511	6,649,015	7,578,288	10,749,166	15,140,273	16,091,362	17,253,457	19,268,661	21,663,334	23,697,541	25,101,072	28,202,606	33,005,521
Белгородская область	91,121	104,287	132,926	154,954	163,134	184,987	204,718	266,137	315,502	362,809	414,836	490,199	549,760	595,218	651,359	722,745	779,454
Брянская область	69,743	74,675	89,968	109,027	119,629	124,653	131,231	156,733	163,908	174,501	190,944	219,120	237,351	262,802	288,707	314,628	382,979
Владимирская область	82,984	84,902	107,959	131,323	135,422	131,537	143,431	173,007	193,767	213,618	243,080	282,154	305,041	319,904	376,746	396,568	442,372
Воронежская область	130,492	137,197	159,833	194,971	206,485	219,479	241,408	290,633	355,708	398,422	413,436	548,808	568,998	612,600	673,928	774,171	847,844
Ивановская область	50,985	56,733	62,243	76,967	84,127	83,156	87,609	108,511	134,942	150,941	174,863	183,200	259,160	259,194	256,194	268,893	260,679
Калужская область	76,662	77,810	82,564	114,034	118,800	126,223	131,822	148,943	171,079	212,572	260,354	293,015	313,543	385,300	426,511	494,955	527,707
Костромская область	52,762	53,719	62,652	86,085	89,670	92,370	107,082	119,064	126,908	131,321	133,282	136,794	137,243	143,254	146,783	155,399	171,018
Курская область	79,291	83,221	113,702	138,953	132,474	129,943	134,620	158,408	168,922	187,428	201,350	231,384	254,912	288,422	302,736	338,998	390,900
Липецкая область	76,246	95,118	109,336	137,515	152,367	169,845	186,889	227,533	259,632	279,166	298,992	340,363	366,309	442,642	515,175	535,603	585,454
Московская область	456,845	545,024	640,414	829,725	916,799	1,067,872	1,258,925	1,758,774	2,056,892	2,309,786	2,567,627	2,817,659	2,859,107	3,036,238	3,254,763	3,923,723	4,182,861
Орловская область	45,704	52,172	62,908	70,461	75,441	75,144	84,051	103,895	119,245	127,006	136,862	151,513	169,985	183,466	197,301	211,049	235,118
Рязанская область	71,858	86,792	106,199	138,983	142,135	153,749	182,016	216,307	245,929	261,974	275,279	329,620	305,119	342,521	355,239	394,337	436,911
Смоленская область	80,255	89,417	102,129	115,843	131,934	138,258	154,800	182,261	205,797	209,883	226,450	259,839	297,716	309,767	338,375	374,477	404,753
Тамбовская область	72,860	85,820	81,983	107,919	118,805	130,404	143,576	176,854	203,206	214,955	233,378	260,634	283,770	322,458	355,620	368,575	393,289
Тверская область	108,616	114,599	116,956	166,938	178,741	200,877	234,920	286,937	311,362	351,726	383,600	405,241	495,966	505,026	530,657	517,521	632,557
Тульская область	91,798	107,472	121,771	142,947	150,159	152,776	179,823	220,266	247,825	287,689	328,580	363,623	407,761	441,178	492,762	555,871	606,213
Ярославская область	110,717	125,372	131,850	191,039	206,985	249,866	283,646	301,739	346,341	368,821	383,688	460,012	486,523	549,566	539,121	544,004	621,684
г. Москва	976,115	1,281,491	1,464,711	2,208,275	2,485,404	3,217,876	3,687,721	5,853,164	9,513,308	9,848,744	10,386,856	11,495,483	13,365,070	14,697,985	15,399,095	17,311,089	21,103,728
Северо-Западный федеральный округ	1,089,669	1,261,420	1,494,801	1,961,945	2,105,836	2,311,763	2,749,021	3,458,342	3,997,404	4,462,191	4,973,309	5,958,102	7,085,885	8,091,714	8,731,874	9,554,264	11,277,916
Республика Карелия	62,441	71,997	81,212	97,875	114,756	120,397	136,234	160,623	173,288	180,705	199,519	210,633	227,562	248,324	284,088	296,346	351,726
Республика Коми	139,652	170,489	204,116	231,490	238,830	269,140	319,178	352,260	403,536	442,040	494,592	534,908	817,453	931,974	1,199,320	1,313,103	1,574,388
Архангельская область	126,399	121,741	146,792	216,036	221,927	243,187	289,977	360,819	490,303	567,678	626,224	664,550	721,083	793,833	827,411	862,408	1,071,131
Ненецкий автономный округ	11,087	12,302	14,642	19,698	19,572	31,074	47,145	65,362	172,410	212,689	237,015	240,807	270,038	267,655	264,601	298,523	417,596
Архангельская область (кроме Ненецкого автономного округа)														526,178	562,810	563,885	653,535
Вологодская область	94,211	124,823	154,088	200,713	207,255	233,330	285,440	415,003	434,577	443,596	472,014	570,642	682,001	730,349	731,406	705,194	747,093
Калининградская область	50,342	52,778	57,695	74,321	82,936	101,578	110,006	140,622	172,802	198,586	224,893	263,673	277,760	307,060	319,158	381,900	477,890
Ленинградская область	152,084	183,019	216,045	272,488	301,211	334,029	364,148	487,366	558,270	640,429	735,311	945,246	1,223,954	1,455,749	1,500,429	1,565,787	1,692,578
Мурманская область	98,815	113,476	124,252	177,201	190,219	197,384	215,653	285,926	332,773	364,639	397,036	573,564	622,247	704,711	554,421	883,034	904,642
Новгородская область	42,889	45,099	61,701	76,950	82,948	87,080	101,513	121,947	136,168	147,749	155,134	164,472	186,040	192,819	246,875	246,248	298,082
Псковская область	49,234	52,604	60,463	67,313	69,984	73,973	81,641	94,554	108,348	118,493	126,002	141,113	151,962	162,227	159,932	161,922	169,903
г.Санкт-Петербург	273,602	325,394	388,437	547,558	595,770	651,665	845,231	1,039,222	1,187,339	1,358,276	1,542,584	1,889,301	2,175,823	2,564,668	2,908,834	3,138,322	3,990,483
Южный федеральный округ	751,036	884,169	1,005,659	1,222,505	1,350,052	1,594,994	1,705,299	2,151,594	2,539,963	2,833,532	3,160,754	3,602,663	3,949,872	4,789,298	5,760,759	6,960,709	8,016,283
Республика Адыгея	32,145	31,888	29,785	29,940	28,551	28,476	30,524	36,821	49,775	55,587	58,612	63,610	75,853	85,622	85,693	83,870	90,396
